epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.862,2.25994,2.5709,2.11798,0.50514,0.23829,0.23854,0.13342,1.98595,2.05891,2.1026,0.0700201,0.0033311,0.0033311
2,592.568,1.92415,1.8982,1.81743,0.33624,0.40333,0.31439,0.17136,1.88039,1.97326,1.99268,0.0398882,0.00653247,0.00653247
3,800.652,1.79699,1.7339,1.71899,0.47958,0.44011,0.43409,0.2474,1.70256,1.70478,1.83839,0.00962422,0.00960185,0.00960185
4,1009.27,1.67772,1.59213,1.61873,0.60042,0.50793,0.51177,0.29484,1.61465,1.6537,1.78718,0.009406,0.009406,0.009406
5,1214.98,1.57241,1.46063,1.53814,0.55616,0.52788,0.53842,0.29097,1.5902,1.56517,1.71567,0.009208,0.009208,0.009208
6,1438.29,1.50124,1.38462,1.47646,0.59093,0.53838,0.53598,0.31198,1.50221,1.64727,1.66013,0.00901,0.00901,0.00901
7,1615.14,1.44326,1.30344,1.42919,0.68458,0.567,0.58411,0.35371,1.42655,1.45421,1.59052,0.008812,0.008812,0.008812
8,1803.52,1.40323,1.25591,1.40327,0.67669,0.59693,0.62091,0.36853,1.42055,1.33158,1.56174,0.008614,0.008614,0.008614
9,1977.88,1.37617,1.21502,1.38309,0.71896,0.59695,0.64355,0.38851,1.40525,1.23536,1.55728,0.008416,0.008416,0.008416
10,2153.67,1.34217,1.1703,1.35416,0.69814,0.61006,0.63976,0.38886,1.38031,1.26252,1.53105,0.008218,0.008218,0.008218
11,2342.77,1.32947,1.15958,1.3443,0.67909,0.63413,0.6379,0.38624,1.36674,1.27797,1.50919,0.00802,0.00802,0.00802
12,2531.32,1.31184,1.12135,1.33296,0.73066,0.64566,0.68711,0.42311,1.31346,1.18052,1.49034,0.007822,0.007822,0.007822
13,2704.46,1.28921,1.08787,1.3188,0.77239,0.64288,0.70819,0.43976,1.29882,1.11701,1.45663,0.007624,0.007624,0.007624
14,2880.86,1.2701,1.07638,1.30242,0.78116,0.64347,0.70745,0.44055,1.28012,1.0755,1.4461,0.007426,0.007426,0.007426
15,3054.17,1.25195,1.05368,1.29208,0.7302,0.6617,0.7241,0.45882,1.26344,1.05298,1.43827,0.007228,0.007228,0.007228
16,3233.68,1.23882,1.02592,1.28302,0.70366,0.66975,0.72115,0.46224,1.23743,1.04465,1.40374,0.00703,0.00703,0.00703
17,3428.66,1.23099,1.00599,1.27422,0.74628,0.67581,0.73319,0.46666,1.24,1.03268,1.41703,0.006832,0.006832,0.006832
18,3663.54,1.21058,0.98951,1.25878,0.78181,0.67076,0.73268,0.46406,1.2492,1.02533,1.4174,0.006634,0.006634,0.006634
19,3844.39,1.20877,0.98732,1.26367,0.78056,0.68932,0.75385,0.4706,1.23953,0.99864,1.41013,0.006436,0.006436,0.006436
20,4026.31,1.19573,0.97913,1.26242,0.73598,0.68927,0.7543,0.47964,1.22478,0.99504,1.38974,0.006238,0.006238,0.006238
21,4210.29,1.18371,0.96166,1.24537,0.75712,0.70195,0.75652,0.48941,1.20183,0.95931,1.37086,0.00604,0.00604,0.00604
22,4411.15,1.18442,0.94885,1.24503,0.79347,0.71897,0.78956,0.50005,1.20213,0.90948,1.37671,0.005842,0.005842,0.005842
23,4584.73,1.16853,0.92015,1.22864,0.8209,0.72436,0.7915,0.51248,1.19166,0.90341,1.37085,0.005644,0.005644,0.005644
24,4760.93,1.15417,0.91808,1.22629,0.75576,0.68759,0.74503,0.48413,1.18957,0.96177,1.36482,0.005446,0.005446,0.005446
25,4933.49,1.15347,0.90408,1.2227,0.79864,0.71917,0.77998,0.51055,1.17794,0.90344,1.35405,0.005248,0.005248,0.005248
26,5108.13,1.14266,0.89517,1.21461,0.80621,0.70961,0.78792,0.51373,1.17932,0.88136,1.35242,0.00505,0.00505,0.00505
27,5321.46,1.13814,0.89554,1.21752,0.76333,0.70992,0.75914,0.50008,1.15804,0.88708,1.33674,0.004852,0.004852,0.004852
28,5496.13,1.12184,0.87343,1.19886,0.83266,0.73328,0.81405,0.53244,1.1527,0.86687,1.3287,0.004654,0.004654,0.004654
29,5673.48,1.11972,0.87411,1.19847,0.83724,0.73867,0.80931,0.53182,1.14389,0.8476,1.31865,0.004456,0.004456,0.004456
30,5850.7,1.10948,0.86133,1.19307,0.79243,0.72627,0.79337,0.51895,1.14415,0.85412,1.32851,0.004258,0.004258,0.004258
31,6045.5,1.10796,0.85849,1.20027,0.81384,0.73716,0.80944,0.52929,1.14011,0.84392,1.31804,0.00406,0.00406,0.00406
32,6257.35,1.10132,0.858,1.19835,0.81391,0.74516,0.811,0.53713,1.12587,0.82619,1.30985,0.003862,0.003862,0.003862
33,6470.61,1.09737,0.8369,1.18882,0.80427,0.75408,0.81313,0.53433,1.12144,0.82097,1.30313,0.003664,0.003664,0.003664
34,6685.33,1.08785,0.83775,1.18753,0.83639,0.7588,0.83159,0.5496,1.1186,0.79905,1.31333,0.003466,0.003466,0.003466
35,6904.49,1.07536,0.82251,1.17898,0.81886,0.75513,0.82644,0.54855,1.11706,0.80515,1.30363,0.003268,0.003268,0.003268
36,7102.84,1.07467,0.80801,1.17567,0.8394,0.76244,0.84043,0.55191,1.12214,0.79955,1.30577,0.00307,0.00307,0.00307
37,7309.31,1.07226,0.81759,1.17781,0.82422,0.77063,0.83421,0.54555,1.10651,0.79227,1.29967,0.002872,0.002872,0.002872
38,7542.65,1.04857,0.79002,1.15664,0.82277,0.74212,0.82001,0.54836,1.09485,0.7894,1.29139,0.002674,0.002674,0.002674
39,7865.49,1.0463,0.79013,1.16045,0.82585,0.77414,0.83262,0.55959,1.09028,0.7817,1.28386,0.002476,0.002476,0.002476
40,8139.63,1.0466,0.79551,1.16161,0.81067,0.77845,0.8333,0.55812,1.08287,0.7692,1.28173,0.002278,0.002278,0.002278
41,8409.46,0.9942,0.69647,1.13766,0.80583,0.79102,0.83612,0.5593,1.09295,0.76635,1.28471,0.00208,0.00208,0.00208
42,8674.07,0.96826,0.67562,1.12567,0.83912,0.77545,0.84481,0.56734,1.0863,0.75759,1.27418,0.001882,0.001882,0.001882
43,8933.67,0.96291,0.67262,1.12622,0.84415,0.77113,0.85124,0.57083,1.07903,0.75303,1.27757,0.001684,0.001684,0.001684
44,9165.53,0.95081,0.65718,1.11947,0.83951,0.77987,0.84745,0.56651,1.07937,0.74407,1.27362,0.001486,0.001486,0.001486
45,9422.11,0.94165,0.64608,1.11122,0.83223,0.79053,0.84692,0.56942,1.07137,0.73578,1.26726,0.001288,0.001288,0.001288
46,9629.41,0.93419,0.64056,1.10888,0.84148,0.77004,0.84518,0.57112,1.06866,0.7412,1.26681,0.00109,0.00109,0.00109
47,9808.66,0.92658,0.63276,1.10141,0.82889,0.78427,0.8495,0.57608,1.06296,0.73317,1.26194,0.000892,0.000892,0.000892
48,9987.78,0.91692,0.62406,1.09787,0.86152,0.77412,0.85135,0.57686,1.05883,0.73028,1.26091,0.000694,0.000694,0.000694
49,10158,0.9143,0.62103,1.0935,0.84043,0.78462,0.85437,0.57997,1.06108,0.72562,1.26073,0.000496,0.000496,0.000496
50,10327.4,0.90488,0.60886,1.09147,0.84122,0.78273,0.85107,0.57701,1.05921,0.72792,1.25874,0.000298,0.000298,0.000298
,259871.772,,,,,,,,,,,,,
,5197.436,,,,,,,,,,,,,
