epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.533,2.79343,3.61508,2.5387,0.55865,0.20887,0.17208,0.09493,2.17708,2.31699,2.2787,0.0700201,0.0033311,0.0033311
2,412.87,2.07967,2.17678,1.94518,0.38114,0.26549,0.25397,0.13549,2.01582,2.14047,2.11074,0.0398882,0.00653247,0.00653247
3,599.094,1.89733,1.88064,1.788,0.40658,0.3574,0.33677,0.18525,1.83408,1.90751,1.9398,0.00962422,0.00960185,0.00960185
4,786.497,1.7357,1.68292,1.6508,0.52684,0.45312,0.43329,0.24173,1.70134,1.79439,1.815,0.009406,0.009406,0.009406
5,998.452,1.60445,1.52415,1.55751,0.56803,0.50661,0.52257,0.28621,1.61571,1.61771,1.75902,0.009208,0.009208,0.009208
6,1240.45,1.53018,1.42239,1.50072,0.56508,0.5309,0.52852,0.31312,1.52509,1.50218,1.69231,0.00901,0.00901,0.00901
7,1490.65,1.47263,1.33203,1.45022,0.64969,0.55926,0.57951,0.34661,1.47212,1.41243,1.65036,0.008812,0.008812,0.008812
8,1737.39,1.42485,1.28658,1.42476,0.72877,0.59786,0.64512,0.37548,1.4391,1.29507,1.61359,0.008614,0.008614,0.008614
9,1970.95,1.40231,1.25018,1.40282,0.69327,0.59442,0.62879,0.37885,1.41399,1.32298,1.59406,0.008416,0.008416,0.008416
10,2225.88,1.36858,1.19885,1.37779,0.72324,0.62074,0.65697,0.39689,1.38112,1.23384,1.57782,0.008218,0.008218,0.008218
11,2483.35,1.34856,1.18324,1.36591,0.69683,0.63605,0.66693,0.39703,1.38095,1.22503,1.56514,0.00802,0.00802,0.00802
12,2685.8,1.33147,1.14686,1.35151,0.74233,0.6273,0.67299,0.41137,1.35227,1.18697,1.53341,0.007822,0.007822,0.007822
13,2971.73,1.30873,1.11104,1.33557,0.7023,0.64183,0.66548,0.4049,1.32391,1.25518,1.52231,0.007624,0.007624,0.007624
14,3254.88,1.28495,1.10004,1.31985,0.74054,0.65353,0.69678,0.42734,1.30877,1.12747,1.5078,0.007426,0.007426,0.007426
15,3535.16,1.27244,1.0739,1.31129,0.71727,0.64717,0.69777,0.42887,1.29651,1.12708,1.48787,0.007228,0.007228,0.007228
16,3730.11,1.26399,1.05332,1.30532,0.737,0.6698,0.71995,0.44821,1.27288,1.06295,1.45891,0.00703,0.00703,0.00703
17,3929.83,1.24904,1.02622,1.28944,0.7551,0.68121,0.72574,0.45079,1.27903,1.04369,1.47095,0.006832,0.006832,0.006832
18,4127.16,1.231,1.0039,1.27511,0.75055,0.68015,0.71884,0.44463,1.27237,1.07699,1.46216,0.006634,0.006634,0.006634
19,4329.68,1.22827,1.00403,1.28079,0.75928,0.68559,0.74158,0.46877,1.23438,1.02673,1.44234,0.006436,0.006436,0.006436
20,4536.76,1.20951,0.99197,1.2751,0.76461,0.68659,0.7437,0.46417,1.24561,1.02165,1.42688,0.006238,0.006238,0.006238
21,4804.51,1.20084,0.97613,1.2606,0.78572,0.71006,0.76744,0.47114,1.2351,0.98216,1.40907,0.00604,0.00604,0.00604
22,5093.12,1.19995,0.95947,1.25694,0.79988,0.70128,0.781,0.47962,1.24272,0.95795,1.41907,0.005842,0.005842,0.005842
23,5347.29,1.17754,0.93241,1.23881,0.79604,0.71461,0.78067,0.49669,1.19973,0.92464,1.40065,0.005644,0.005644,0.005644
24,5528.63,1.1736,0.93117,1.24146,0.72468,0.71362,0.74555,0.47677,1.20303,0.99627,1.3932,0.005446,0.005446,0.005446
25,5775.64,1.17741,0.92024,1.23976,0.75802,0.72589,0.76921,0.49776,1.18909,0.93174,1.37601,0.005248,0.005248,0.005248
26,5992.74,1.15993,0.9141,1.22774,0.7795,0.72819,0.78828,0.49968,1.19215,0.90028,1.37287,0.00505,0.00505,0.00505
27,6172.33,1.1524,0.90948,1.22639,0.78187,0.70909,0.75862,0.49433,1.17686,0.9102,1.35803,0.004852,0.004852,0.004852
28,6354.8,1.14015,0.88307,1.21188,0.79407,0.70841,0.77421,0.50352,1.16911,0.90395,1.36157,0.004654,0.004654,0.004654
29,6537.79,1.13004,0.88833,1.21127,0.79388,0.7415,0.80241,0.51939,1.14733,0.87299,1.34637,0.004456,0.004456,0.004456
30,6719.05,1.13087,0.87854,1.20793,0.77338,0.73473,0.7831,0.50159,1.17158,0.89239,1.36159,0.004258,0.004258,0.004258
31,6901.06,1.12227,0.86761,1.21117,0.80361,0.70381,0.77649,0.50681,1.15626,0.88879,1.34992,0.00406,0.00406,0.00406
32,7085.04,1.11956,0.86775,1.21175,0.79707,0.72529,0.79161,0.51625,1.15582,0.86235,1.3467,0.003862,0.003862,0.003862
33,7267.55,1.10965,0.84791,1.19799,0.77613,0.73383,0.78152,0.51011,1.13762,0.8783,1.3282,0.003664,0.003664,0.003664
34,7449.26,1.10717,0.85139,1.20124,0.79386,0.76114,0.81377,0.52994,1.13884,0.82986,1.33607,0.003466,0.003466,0.003466
35,7632.54,1.08921,0.83488,1.19031,0.81532,0.7424,0.81465,0.53457,1.13202,0.82375,1.32682,0.003268,0.003268,0.003268
36,7815.8,1.08916,0.82243,1.1881,0.80229,0.73984,0.80716,0.52825,1.13275,0.82283,1.32364,0.00307,0.00307,0.00307
37,7998.38,1.08423,0.82788,1.18785,0.83605,0.74241,0.82118,0.53574,1.12375,0.81656,1.31296,0.002872,0.002872,0.002872
38,8180.62,1.06557,0.8082,1.16969,0.80116,0.74968,0.81471,0.54157,1.10419,0.81422,1.30077,0.002674,0.002674,0.002674
39,8363.18,1.06175,0.80536,1.17445,0.82909,0.7387,0.81329,0.54135,1.09857,0.8218,1.30019,0.002476,0.002476,0.002476
40,8544.87,1.06274,0.81037,1.17454,0.81113,0.74917,0.81165,0.54053,1.09736,0.81163,1.30028,0.002278,0.002278,0.002278
41,8718.22,1.0048,0.71113,1.1507,0.80139,0.76709,0.81856,0.53846,1.11072,0.79109,1.30498,0.00208,0.00208,0.00208
42,8890.89,0.98231,0.68759,1.13996,0.82059,0.74933,0.81855,0.54345,1.10127,0.78922,1.30032,0.001882,0.001882,0.001882
43,9062.59,0.97854,0.68383,1.13956,0.83214,0.759,0.83738,0.55169,1.09556,0.77552,1.29482,0.001684,0.001684,0.001684
44,9235.87,0.9676,0.67044,1.1336,0.82359,0.77175,0.83516,0.55577,1.08528,0.7656,1.29493,0.001486,0.001486,0.001486
45,9408.88,0.95419,0.66178,1.12318,0.80882,0.77573,0.8301,0.55404,1.08298,0.76866,1.2851,0.001288,0.001288,0.001288
46,9582.18,0.94859,0.65127,1.12101,0.83277,0.76199,0.83391,0.55405,1.08184,0.76482,1.28522,0.00109,0.00109,0.00109
47,9754,0.94123,0.64826,1.11937,0.83473,0.76141,0.8322,0.55784,1.07681,0.75941,1.28214,0.000892,0.000892,0.000892
48,9928.31,0.93278,0.63929,1.11212,0.8316,0.77542,0.8365,0.55882,1.07144,0.75493,1.28268,0.000694,0.000694,0.000694
49,10101.5,0.93012,0.63681,1.10463,0.84015,0.76804,0.83947,0.56381,1.06763,0.75213,1.27322,0.000496,0.000496,0.000496
50,10273.6,0.91541,0.62063,1.10192,0.82789,0.78372,0.83962,0.56275,1.06566,0.74662,1.27515,0.000298,0.000298,0.000298
,277789.466,,,,,,,,,,,,,
,5555.79,,,,,,,,,,,,,
